strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CW15_ABS05_ZW504_UZ1P0,2008_GFC,0.6520176774148769,-0.10238566543315253,1.9869897834244183,248,1,1,1,1,0.5337118878049483,0.3233867634898179,0.7302670623145401,0.09999999999999999,0.4586005076059721
CW15_ABS05_ZW504_UZ1P0,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW504_UZ1P0,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW504_UZ1P0,2018Q4,0.0830366529316795,-0.043022277196462455,3.277032391880694,74,2,2,1,2,0.49508612121232815,0.9511293976854244,0.9000000000000001,0.09999999999999999,0.4336957161182547
CW15_ABS05_ZW504_UZ1P0,COVID_2020,0.0582116289037935,-0.15383533620823908,0.5863901755260285,64,3,2,2,2,0.5466885689225445,1.0,,,0.4533114310774554
CW15_ABS05_ZW504_UZ1P0,2022_RATE_WAR,-0.029662371007453392,-0.23789693975658488,-0.1374601921221731,201,3,3,2,2,0.5025074910510589,0.6936323435091968,0.76,0.10000000000000002,0.36933297537742765
CW15_ABS05_ZW504_UZ1P0,2025_PULLBACK,0.593964801173676,-0.08797658983502676,2.6216717041705917,27,4,4,2,1,,0.4522739422119501,0.9000000000000001,0.1,0.5477260577880497
CW15_ABS05_ZW504_UZ1P5,2008_GFC,0.6520176774148769,-0.10238566543315253,1.9869897834244183,248,1,1,1,1,0.5337118878049483,0.3233867634898179,0.7302670623145401,0.09999999999999999,0.4586005076059721
CW15_ABS05_ZW504_UZ1P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW504_UZ1P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW504_UZ1P5,2018Q4,0.09533271870402582,-0.04569042248481847,3.704550780779263,50,3,2,2,2,0.49508612121232815,0.8999945323820354,0.9000000000000001,0.09999999999999999,0.3946877551265817
CW15_ABS05_ZW504_UZ1P5,COVID_2020,0.09931859741416948,-0.15383533620823908,1.0342547263562103,57,3,2,2,2,0.5401989680165098,1.0,,,0.45980103198349015
CW15_ABS05_ZW504_UZ1P5,2022_RATE_WAR,-0.029662371007453392,-0.23789693975658488,-0.1374601921221731,83,3,3,3,2,0.5025074910510589,0.6936323435091968,0.76,0.10000000000000002,0.36933297537742765
CW15_ABS05_ZW504_UZ1P5,2025_PULLBACK,0.593964801173676,-0.08797658983502676,2.6216717041705917,27,4,4,2,1,,0.4522739422119501,0.9000000000000001,0.1,0.5477260577880497
CW15_ABS10_ZW126_UZ0P5,2008_GFC,0.4863406226659306,-0.15007092107743036,1.455960621917613,114,1,1,1,1,0.5552351818055431,0.33572144273887794,0.7344827586206896,0.1,0.44336279317595123
CW15_ABS10_ZW126_UZ0P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW126_UZ0P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW126_UZ0P5,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW126_UZ0P5,COVID_2020,0.10112286366197765,-0.15383533620823908,1.054343965817744,56,2,2,2,2,0.5411237107159279,1.0,,,0.458876289284072
CW15_ABS10_ZW126_UZ0P5,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,127,1,1,1,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS10_ZW126_UZ0P5,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
